MONTH,ORIGIN_AIRPORT,AIRLINE,ARRIVAL_DELAY,COUNT
January,GEG,Skywest Airlines Inc.,14.23696682,222
January,GEG,United Air Lines Inc.,-1.413793103,58
January,GEG,US Airways Inc.,-0.333333333,36
January,GEG,Southwest Airlines Co.,1.71031746,255
January,GFK,Skywest Airlines Inc.,10,50
January,GGG,Atlantic Southeast Airlines,13.48387097,31
January,GGG,American Eagle Airlines Inc.,7,23
January,GJT,Atlantic Southeast Airlines,3.392857143,28
January,GJT,American Eagle Airlines Inc.,3.120689655,62
January,GJT,Skywest Airlines Inc.,4.598930481,189
January,GNV,Delta Air Lines Inc.,-1.366666667,30
January,GNV,Atlantic Southeast Airlines,15.53956835,142
January,GNV,American Eagle Airlines Inc.,-7.326923077,53
January,GPT,Delta Air Lines Inc.,1.888888889,81
January,GPT,Atlantic Southeast Airlines,0.361445783,167
January,GPT,American Eagle Airlines Inc.,-0.470588235,89
January,GRB,Delta Air Lines Inc.,23,1
January,GRB,Atlantic Southeast Airlines,6.212598425,129
January,GRB,American Eagle Airlines Inc.,16.65714286,120
January,GRB,Skywest Airlines Inc.,9.424778761,115
January,GRI,American Eagle Airlines Inc.,11.75862069,61
January,GRK,Atlantic Southeast Airlines,11.54411765,138
January,GRK,American Eagle Airlines Inc.,6.690677966,243
January,GRR,Delta Air Lines Inc.,1.431818182,176
January,GRR,Atlantic Southeast Airlines,4.457399103,231
January,GRR,American Eagle Airlines Inc.,25.24180328,265
January,GRR,Skywest Airlines Inc.,9.48125,166
January,GRR,United Air Lines Inc.,16.375,8
January,GRR,Southwest Airlines Co.,-7.242424242,203
January,GSO,Delta Air Lines Inc.,-5.704347826,115
January,GSO,Atlantic Southeast Airlines,6.576923077,362
January,GSO,Frontier Airlines Inc.,21.5,2
January,GSO,American Eagle Airlines Inc.,12.09944751,201
January,GSP,Delta Air Lines Inc.,-1.485714286,140
January,GSP,Atlantic Southeast Airlines,9.941176471,231
January,GSP,American Eagle Airlines Inc.,17.98148148,58
January,GSP,Southwest Airlines Co.,7.655172414,119
January,GTF,Skywest Airlines Inc.,6.20979021,146
January,GTR,Atlantic Southeast Airlines,1.891566265,83
January,GUC,American Airlines Inc.,27.25806452,31
January,GUC,Atlantic Southeast Airlines,17.5625,36
January,GUC,American Eagle Airlines Inc.,28.75,5
January,GUC,Skywest Airlines Inc.,87,1
January,GUC,United Air Lines Inc.,4.2,5
January,GUM,United Air Lines Inc.,3.935483871,31
January,HDN,American Airlines Inc.,11.75,40
January,HDN,Delta Air Lines Inc.,-2,27
January,HDN,Atlantic Southeast Airlines,121,2
January,HDN,Skywest Airlines Inc.,17.34146341,42
January,HDN,United Air Lines Inc.,-1.435897436,39
January,HIB,Skywest Airlines Inc.,-1.453333333,77
January,HLN,Skywest Airlines Inc.,-6.79245283,110
January,HNL,American Airlines Inc.,21.99408284,169
January,HNL,Alaska Airlines Inc.,-11.90607735,183
January,HNL,Delta Air Lines Inc.,-6.564885496,262
January,HNL,Hawaiian Airlines Inc.,1.293928571,2811
January,HNL,United Air Lines Inc.,-1.778054863,408
January,HNL,US Airways Inc.,4.666666667,64
January,HOB,Atlantic Southeast Airlines,-0.76744186,49
January,HOU,American Airlines Inc.,0.285714286,57
January,HOU,JetBlue Airways,9.555555556,66
January,HOU,Delta Air Lines Inc.,-3.5,190
January,HOU,American Eagle Airlines Inc.,21.58974359,82
January,HOU,Southwest Airlines Co.,3.421228783,4255
January,HPN,JetBlue Airways,10.72875817,331
January,HPN,Atlantic Southeast Airlines,10.73880597,296
January,HPN,American Eagle Airlines Inc.,11.02666667,99
January,HRL,Atlantic Southeast Airlines,-2.896226415,112
January,HRL,Southwest Airlines Co.,-3,174
January,HSV,Delta Air Lines Inc.,-2.758241758,182
January,HSV,Atlantic Southeast Airlines,3.364963504,139
January,HSV,American Eagle Airlines Inc.,8.717391304,97
January,HYS,Skywest Airlines Inc.,11.37254902,53
January,IAD,American Airlines Inc.,4.17535545,211
January,IAD,JetBlue Airways,11.46496815,169
January,IAD,Delta Air Lines Inc.,-2.532608696,184
January,IAD,Atlantic Southeast Airlines,18.08227311,1232
January,IAD,Frontier Airlines Inc.,21.64732143,226
January,IAD,Skywest Airlines Inc.,8.315789474,19
January,IAD,United Air Lines Inc.,7.45612708,1338
January,IAD,Virgin America,-9.427350427,117
January,IAD,Southwest Airlines Co.,1.406862745,205
January,IAG,Spirit Air Lines,3.586206897,31
January,IAH,American Airlines Inc.,3.918552036,446
January,IAH,Alaska Airlines Inc.,-0.064516129,31
January,IAH,Delta Air Lines Inc.,-2.860986547,224
January,IAH,Atlantic Southeast Airlines,5.107862021,5780
January,IAH,Frontier Airlines Inc.,9.32173913,116
January,IAH,Spirit Air Lines,9.991643454,360
January,IAH,Skywest Airlines Inc.,11.45446508,1147
January,IAH,United Air Lines Inc.,4.62513111,4855
January,IAH,US Airways Inc.,1.682038835,417
January,ICT,American Airlines Inc.,6.6,62
January,ICT,Delta Air Lines Inc.,-4.85915493,72
January,ICT,Atlantic Southeast Airlines,4.11038961,157
January,ICT,Skywest Airlines Inc.,22.81767956,199
January,ICT,United Air Lines Inc.,28.32352941,34
January,ICT,Southwest Airlines Co.,-2.116788321,139
January,IDA,Frontier Airlines Inc.,-3.5,2
January,IDA,Skywest Airlines Inc.,2.928176796,188
January,ILG,Frontier Airlines Inc.,24.76923077,26
January,ILM,Delta Air Lines Inc.,-4.037037037,27
January,ILM,Atlantic Southeast Airlines,1.768595041,121
January,ILM,US Airways Inc.,0,1
January,IMT,Skywest Airlines Inc.,12.18867925,58
January,IND,American Airlines Inc.,4.506578947,157
January,IND,Delta Air Lines Inc.,-5.489583333,384
January,IND,Atlantic Southeast Airlines,7.035714286,278
January,IND,Frontier Airlines Inc.,11.81578947,39
January,IND,American Eagle Airlines Inc.,37.64827586,172
January,IND,Skywest Airlines Inc.,21.83018868,54
January,IND,United Air Lines Inc.,-10.04,51
January,IND,US Airways Inc.,0.286713287,146
